"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,25,37.636221555342,NA
"popmean",1,5.11680318345299,24,32.519418371889,0.0236952294470645
"food",6,10.8750488680049,18,21.6443695038841,0.0923158200427889
"popmean:food",5,5.85648085746214,13,15.7878886464219,0.320435432710033
