"","x"
"1","C_horei"
"2","Cunningtonia_longiventralis"
"3","L_cunningtoni"
"4","L_kendalli"
"5","L_mimicus"
"6","L_profundicola"
"7","Lates_M"
"8","N_busheri"
"9","N_cylindricus"
"10","N_furcifer"
"11","N_mustax"
"12","N_obscurus"
"13","N_petricola"
"14","N_prochilus"
"15","N_tetracanthus"
"16","P_curvifrons"
"17","P_famula"
"18","P_horii"
"19","P_straeleni"
"20","X_sima"
"21","Xenotilapia_flavipinnis"
"22","Xenotilapia_boulengeri"
"23","Xenotilapia_sp"
