"","effect","cause","menas"
"99","N_fasciatus","A_compressiceps","Min.   :-0.291749192333921"
"100","N_fasciatus","A_compressiceps","1st Qu.:0.0232836380609433"
"101","N_fasciatus","A_compressiceps","Median :0.168129473136948"
"102","N_fasciatus","A_compressiceps","Mean   :0.143542022590602"
"103","N_fasciatus","A_compressiceps","3rd Qu.:0.280077366333849"
"104","N_fasciatus","A_compressiceps","Max.   :0.489222653351218"
"105","N_fasciatus","A_compressiceps","NA's  :1"
"106","N_fasciatus","A_dewindti","Min.   :-1.11990031363902"
"107","N_fasciatus","A_dewindti","1st Qu.:-0.347003910305686"
"108","N_fasciatus","A_dewindti","Median :0.0416773466640513"
"109","N_fasciatus","A_dewindti","Mean   :-0.122269701403292"
"110","N_fasciatus","A_dewindti","3rd Qu.:0.14746782004554"
"111","N_fasciatus","A_dewindti","Max.   :0.384384507354645"
"112","N_fasciatus","A_dewindti","NA's  :1"
"113","N_fasciatus","I_loocki","Min.   :-0.509446242430508"
"114","N_fasciatus","I_loocki","1st Qu.:-0.048384823937239"
"115","N_fasciatus","I_loocki","Median :0.117358505620793"
"116","N_fasciatus","I_loocki","Mean   :0.124767745681"
"117","N_fasciatus","I_loocki","3rd Qu.:0.312672300762847"
"118","N_fasciatus","I_loocki","Max.   :0.576109922119078"
"119","N_fasciatus","I_loocki","NA's  :1"
"120","N_fasciatus","J_ornatus","Min.   :-0.85392521021053"
"121","N_fasciatus","J_ornatus","1st Qu.:0.00507760315416087"
"122","N_fasciatus","J_ornatus","Median :0.416614042917403"
"123","N_fasciatus","J_ornatus","Mean   :0.379350886993733"
"124","N_fasciatus","J_ornatus","3rd Qu.:0.698889606535417"
"125","N_fasciatus","J_ornatus","Max.   :1.60784851674702"
"126","N_fasciatus","J_ornatus","NA's  :1"
"127","N_fasciatus","L_callipterus","Min.   :-1.25498333266098"
"128","N_fasciatus","L_callipterus","1st Qu.:-0.304972082427252"
"129","N_fasciatus","L_callipterus","Median :0.0445005961964021"
"130","N_fasciatus","L_callipterus","Mean   :-0.0750890078596974"
"131","N_fasciatus","L_callipterus","3rd Qu.:0.244941869034217"
"132","N_fasciatus","L_callipterus","Max.   :0.709616446235158"
"133","N_fasciatus","L_callipterus","NA's  :1"
"134","N_fasciatus","O_ventralis","Min.   :-0.724796128985158"
"135","N_fasciatus","O_ventralis","1st Qu.:-0.130372489066711"
"136","N_fasciatus","O_ventralis","Median :0.159304016903458"
"137","N_fasciatus","O_ventralis","Mean   :0.0970383703600147"
"138","N_fasciatus","O_ventralis","3rd Qu.:0.349997629797563"
"139","N_fasciatus","O_ventralis","Max.   :0.801643751981462"
"140","N_fasciatus","O_ventralis","NA's  :1"
"141","N_fasciatus","Paracyprichromisspp","Min.   :-0.832746419524304"
"142","N_fasciatus","Paracyprichromisspp","1st Qu.:-0.163890337723932"
"143","N_fasciatus","Paracyprichromisspp","Median :0.00624928477892328"
"144","N_fasciatus","Paracyprichromisspp","Mean   :0.0247798268675086"
"145","N_fasciatus","Paracyprichromisspp","3rd Qu.:0.304222144314326"
"146","N_fasciatus","Paracyprichromisspp","Max.   :0.5346246751567"
"147","N_fasciatus","Paracyprichromisspp","NA's  :1"
"148","N_fasciatus","P_microlepis","Min.   :-0.166336406238298"
"149","N_fasciatus","P_microlepis","1st Qu.:0.0897001214320181"
"150","N_fasciatus","P_microlepis","Median :0.251010557892936"
"151","N_fasciatus","P_microlepis","Mean   :0.315342588558902"
"152","N_fasciatus","P_microlepis","3rd Qu.:0.52870572900617"
"153","N_fasciatus","P_microlepis","Max.   :1.30902808712053"
"154","N_fasciatus","P_microlepis","NA's  :1"
"155","N_fasciatus","S_multipunctatus","Min.   :-1.36573765992055"
"156","N_fasciatus","S_multipunctatus","1st Qu.:-0.758083827045889"
"157","N_fasciatus","S_multipunctatus","Median :-0.657596479680851"
"158","N_fasciatus","S_multipunctatus","Mean   :-0.57835732922037"
"159","N_fasciatus","S_multipunctatus","3rd Qu.:-0.375883311872552"
"160","N_fasciatus","S_multipunctatus","Max.   :0.153036573004903"
"161","N_fasciatus","S_multipunctatus","NA's  :1"
"162","N_fasciatus","T_moorii","Min.   :-0.413220032233881"
"163","N_fasciatus","T_moorii","1st Qu.:0.0495294445677588"
"164","N_fasciatus","T_moorii","Median :0.20751269921852"
"165","N_fasciatus","T_moorii","Mean   :0.189692919235553"
"166","N_fasciatus","T_moorii","3rd Qu.:0.371373320066859"
"167","N_fasciatus","T_moorii","Max.   :0.595572847535101"
"168","N_fasciatus","T_moorii","NA's  :1"
"169","O_ventralis","O_ventralis","Min.   :-0.172115824104192"
"170","O_ventralis","O_ventralis","1st Qu.:-0.00301560868172938"
"171","O_ventralis","O_ventralis","Median :0.0554249823513681"
"172","O_ventralis","O_ventralis","Mean   :0.0599769554600147"
"173","O_ventralis","O_ventralis","3rd Qu.:0.125685564894326"
"174","O_ventralis","O_ventralis","Max.   :0.305682496453609"
"175","O_ventralis","O_ventralis","NA's  :1"
"176","O_ventralis","A_compressiceps","Min.   :-0.466613814590374"
"177","O_ventralis","A_compressiceps","1st Qu.:-0.231525487708215"
"178","O_ventralis","A_compressiceps","Median :-0.111349696303561"
"179","O_ventralis","A_compressiceps","Mean   :-0.0754990537821406"
"180","O_ventralis","A_compressiceps","3rd Qu.:0.0833763124712536"
"181","O_ventralis","A_compressiceps","Max.   :0.338388403957123"
"182","O_ventralis","A_compressiceps","NA's  :1"
"183","O_ventralis","A_dewindti","Min.   :-0.110985915298169"
"184","O_ventralis","A_dewindti","1st Qu.:0.103395387976858"
"185","O_ventralis","A_dewindti","Median :0.220223157921334"
"186","O_ventralis","A_dewindti","Mean   :0.192526408159695"
"187","O_ventralis","A_dewindti","3rd Qu.:0.280102274458187"
"188","O_ventralis","A_dewindti","Max.   :0.384871745623967"
"189","O_ventralis","A_dewindti","NA's  :1"
"190","O_ventralis","G_pfefferi","Min.   :0.134466411908486"
"191","O_ventralis","G_pfefferi","1st Qu.:0.384464575625525"
"192","O_ventralis","G_pfefferi","Median :0.445792898906592"
"193","O_ventralis","G_pfefferi","Mean   :0.541492825844446"
"194","O_ventralis","G_pfefferi","3rd Qu.:0.726647277639236"
"195","O_ventralis","G_pfefferi","Max.   :1.00362874992348"
"196","O_ventralis","G_pfefferi","NA's  :1"
"197","O_ventralis","I_loocki","Min.   :-0.808591612419095"
"198","O_ventralis","I_loocki","1st Qu.:-0.520359162770799"
"199","O_ventralis","I_loocki","Median :-0.380224626781697"
"200","O_ventralis","I_loocki","Mean   :-0.370074785450008"
"201","O_ventralis","I_loocki","3rd Qu.:-0.236138287853169"
"202","O_ventralis","I_loocki","Max.   :0.0194425523529726"
"203","O_ventralis","I_loocki","NA's  :1"
"204","O_ventralis","J_ornatus","Min.   :-0.536461124926721"
"205","O_ventralis","J_ornatus","1st Qu.:-0.0122633243936289"
"206","O_ventralis","J_ornatus","Median :0.137227543803589"
"207","O_ventralis","J_ornatus","Mean   :0.172706374708867"
"208","O_ventralis","J_ornatus","3rd Qu.:0.442237696638512"
"209","O_ventralis","J_ornatus","Max.   :0.738186712402996"
"210","O_ventralis","J_ornatus","NA's  :1"
"211","O_ventralis","L_callipterus","Min.   :-0.644613051195102"
"212","O_ventralis","L_callipterus","1st Qu.:-0.355186440374822"
"213","O_ventralis","L_callipterus","Median :-0.209886010701776"
"214","O_ventralis","L_callipterus","Mean   :-0.207530566035656"
"215","O_ventralis","L_callipterus","3rd Qu.:-0.0998266113053421"
"216","O_ventralis","L_callipterus","Max.   :0.283339759390573"
"217","O_ventralis","L_callipterus","NA's  :1"
"218","O_ventralis","N_fasciatus","Min.   :-1.02376520118412"
"219","O_ventralis","N_fasciatus","1st Qu.:-0.657531257049002"
"220","O_ventralis","N_fasciatus","Median :-0.284568473534018"
"221","O_ventralis","N_fasciatus","Mean   :-0.380998077707402"
"222","O_ventralis","N_fasciatus","3rd Qu.:-0.125153022116362"
"223","O_ventralis","N_fasciatus","Max.   :0.0880378095405117"
"224","O_ventralis","N_fasciatus","NA's  :1"
"225","O_ventralis","N_sexfasciatus","Min.   :-0.636225623341597"
"226","O_ventralis","N_sexfasciatus","1st Qu.:-0.324709045715565"
"227","O_ventralis","N_sexfasciatus","Median :-0.200627290849535"
"228","O_ventralis","N_sexfasciatus","Mean   :-0.21195035078207"
"229","O_ventralis","N_sexfasciatus","3rd Qu.:-0.0871103842946256"
"230","O_ventralis","N_sexfasciatus","Max.   :0.194839416131528"
