"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,25,78.2459022657353,NA
"popmean",1,8.8872547373342,24,69.3586475284011,0.0028716818764261
"food",6,5.66534838423582,18,63.6932991441652,0.461701550279075
"popmean:food",5,25.2742471016615,13,38.4190520425037,0.000123330554851087
