"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"popmean",1,27.6947093989256,27.6947093989256,5.7439054552018,0.0322871364270368
"food",6,53.0376069342116,8.83960115570193,1.83334053333718,0.169152230647118
"popmean:food",5,22.6255831741404,4.52511663482809,0.938512903306428,0.488176431313095
"Residuals",13,62.6805620311839,4.82158169470646,NA,NA
