"","Strength","ratio","effect_cause","effect.x","cause.x","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"49","Negative",0.815789473684211,"N_sexfasciatus_S_multipunctatus","N_sexfasciatus","S_multipunctatus",8.10447110998082,0.253076637787449,1,0
"50","Positive",0.894736842105263,"N_sexfasciatus_T_moorii","N_sexfasciatus","T_moorii",10.7793158451227,0.297944648418993,0,1
"51","Negative",0.631578947368421,"N_sexfasciatus_T_vittatus","N_sexfasciatus","T_vittatus",6.28829915348052,0.31532146535585,1,0
"52","Negative",0.973684210526316,"N_sexfasciatus_V_moorii","N_sexfasciatus","V_moorii",10.8503758309775,0.287868417608437,1,0
"53","Negative",0.973684210526316,"O_ventralis_A_dewindti","O_ventralis","A_dewindti",7.01152911593227,0.184766779317007,1,0
"54","Positive",1,"O_ventralis_G_pfefferi","O_ventralis","G_pfefferi",13.7426870070132,0.361649658079294,0,1
"55","Negative",1,"O_ventralis_I_loocki","O_ventralis","I_loocki",14.1507419373204,0.372387945718958,1,0
"56","Positive",0.578947368421053,"O_ventralis_J_ornatus","O_ventralis","J_ornatus",0.642438155565146,0.23545696528702,0,1
"57","Positive",0.552631578947368,"O_ventralis_L_callipterus","O_ventralis","L_callipterus",2.99072545992231,0.181208951316062,0,1
"58","Negative",1,"O_ventralis_N_fasciatus","O_ventralis","N_fasciatus",26.8021749359509,0.70532039305134,1,0
"59","Positive",0.973684210526316,"O_ventralis_P_microlepis","O_ventralis","P_microlepis",10.0037356050853,0.26326868512809,0,1
"60","Positive",1,"O_ventralis_S_multipunctatus","O_ventralis","S_multipunctatus",12.5645539265863,0.330646155962799,0,1
"61","Negative",1,"O_ventralis_T_moorii","O_ventralis","T_moorii",21.6774653194663,0.570459613670166,1,0
"62","Positive",0.552631578947368,"O_ventralis_X_papilio","O_ventralis","X_papilio",0.642432976388047,0.0750925646288846,0,1
"63","Negative",0.842105263157895,"P_microlepis_A_dewindti","P_microlepis","A_dewindti",5.4708211292026,0.176547309001192,1,0
"64","Positive",0.842105263157895,"P_microlepis_G_pfefferi","P_microlepis","G_pfefferi",5.31120412415776,0.168138940502952,0,1
"65","Negative",0.973684210526316,"P_microlepis_J_ornatus","P_microlepis","J_ornatus",8.04396323553319,0.212006646609268,1,0
"66","Negative",0.947368421052632,"P_microlepis_L_callipterus","P_microlepis","L_callipterus",14.3970730269427,0.385403544536397,1,0
"67","Positive",0.763157894736842,"P_microlepis_L_tanganicanus","P_microlepis","L_tanganicanus",3.31562952189209,0.128628659548779,0,1
"68","Positive",0.684210526315789,"P_microlepis_N_fasciatus","P_microlepis","N_fasciatus",6.34761709349251,0.22391932234646,0,1
"69","Positive",0.973684210526316,"P_microlepis_O_ventralis","P_microlepis","O_ventralis",9.84559592320027,0.262678652947002,0,1
"70","Positive",0.763157894736842,"P_microlepis_T_moorii","P_microlepis","T_moorii",3.37586801710222,0.121335569427445,0,1
"71","Negative",1,"P_microlepis_V_moorii","P_microlepis","V_moorii",20.761697845657,0.546360469622553,1,0
"72","Negative",0.552631578947368,"P_microlepis_X_papilio","P_microlepis","X_papilio",0.539851650490684,0.0848557508214012,1,0
"73","Negative",0.631578947368421,"P_trewavasae_A_dewindti","P_trewavasae","A_dewindti",1.91765747596446,0.140766639652125,1,0
"74","Negative",0.947368421052632,"P_trewavasae_P_microlepis","P_trewavasae","P_microlepis",9.01272331206079,0.252307641921161,1,0
"75","Negative",0.868421052631579,"P_trewavasae_T_vittatus","P_trewavasae","T_vittatus",8.80539615654274,0.26595069338783,1,0
"76","Negative",1,"T_moorii_A_dewindti","T_moorii","A_dewindti",20.6932582767928,0.544559428336653,1,0
"77","Negative",0.763157894736842,"T_moorii_I_loocki","T_moorii","I_loocki",3.07620897541757,0.110836804478238,1,0
"78","Negative",0.947368421052632,"T_moorii_J_ornatus","T_moorii","J_ornatus",7.77061350844592,0.207658460893291,1,0
"79","Negative",1,"T_moorii_L_attenuatus","T_moorii","L_attenuatus",10.2705370312751,0.270277290296713,1,0
"80","Positive",1,"T_moorii_L_callipterus","T_moorii","L_callipterus",21.1075374468911,0.555461511760292,0,1
"81","Negative",1,"T_moorii_L_labiatus","T_moorii","L_labiatus",8.43933911071117,0.222087871334504,1,0
"82","Negative",0.921052631578947,"T_moorii_L_tanganicanus","T_moorii","L_tanganicanus",4.45825580139979,0.124245265071698,1,0
"83","Negative",0.526315789473684,"T_moorii_N_fasciatus","T_moorii","N_fasciatus",0.207218238388589,0.0501696648860029,1,0
"84","Positive",1,"T_moorii_N_sexfasciatus","T_moorii","N_sexfasciatus",10.126497174584,0.266486767752211,0,1
"85","Positive",0.578947368421053,"T_moorii_O_ventralis","T_moorii","O_ventralis",0.020792771208156,0.0388218679841695,0,1
