No.,cause,foodhabitat,col,foodhabit7,col7,position,Horiposition,equivalent,re–position,tribe,breeding,size,max_size,re–namesp,SpFullName,popmean,bindre–namesp
57,X_flavipinnis,Zoobenthos_feeder,skyblue,omnivore,gray,,56,,37,,,,,Xen. fla,Xenotilapia flavipinnis,0.175,Xen.fla
35,N_savoryi,Zoobenthos_and_phytobenthos_feeder,gold1,omnivore,gray,,58,,38,Perissodini,,,,Neo. sav,Neolamprologus savoryi,31.625,Neo.sav
34,N_pulcher,Zoobenthos_and_phytobenthos_feeder,gold1,omnivore,gray,,59,,39,Tropheini,,,,Neo. pul,Neolamprologus pulcher,24.225,Neo.pul
59,X_sp,unclear,magenta,omnivore,gray,,61,,40,,,,,Xen. sp,Xenotilapia sp,0.05,Xen.sp
28,N_fasciatus,Shrimp_feeder,pink,piscivore,red,28,5,,41,Ectodini,mouth_breeding,12ŒŽ5“ú,12,Neo. fas,Neolamprologus fasciatus,64.1,Neo.fas
16,L_elongatus,Fish_feeder,red,piscivore,red,29,12,L.modestus,42,Lamprologini,substrate_guarding,10ŒŽ3“ú,10,Lep. elo,Lepidiolamprologus elongatus,12.325,Lep.elo
17,L_kendalli,Fish_feeder,red,piscivore,red,30,13,nomatch,43,Lamprologini,substrate_guarding,12ŒŽ4“ú,12,Lep. ken,Lepidiolamprologus kendalli,0.3,Lep.ken
19,L_lemairii,Fish_feeder,red,piscivore,red,19,14,nomatch,44,Tropheini,mouth_breeding,11ŒŽ7“ú,11,Lam. lem,Lamprologus lemairii,3.125,Lam.lem
20,L_mimicus,Fish_feeder,red,piscivore,red,9,15,,45,Perissodini,mouth_breeding,11ŒŽ6“ú,11,Lep. mim,Lepidiolamprologus mimicus,0.425,Lep.mim
21,L_profundicola,Fish_feeder,red,piscivore,red,14,16,,46,Tropheini,mouth_breeding,8ŒŽ18“ú,18,Lep. pro,Lepidiolamprologus profundicola,0.7,Lep.pro
23,Lates_M,Fish_feeder,red,piscivore,red,38,17,S.e,47,non_cichlid,NA,10ŒŽ9“ú,10,Lat. M,Lates spp.,0.3,Lat.M
,P_paradoxus,Scale_feeder,blueviolet,scale–eater,blueviolet,,18,,48,,,,,Ple. par,,,Ple.par
43,P_microlepis,Scale_feeder,blueviolet,scale–eater,blueviolet,,19,,49,,,,11,Per. mic,Perissodus microlepis,30.975,Per.mic
46,P_straeleni,Scale_feeder,blueviolet,scale–eater,blueviolet,,20,,50,,,,,Per. str,Plecodus straeleni,2.25,Per.str
1,A_compressiceps,Shrimp_feeder,pink,shrimp–eater,pink,23,1,,51,Ectodini,mouth_breeding,12ŒŽ6“ú,12,Alt. com,Altolamprologus compressiceps,3.375,Alt.com
8,G_pfefferi,Shrimp_feeder,pink,shrimp–eater,pink,1,2,,52,Lamprologini,shell_breeding,11ŒŽ5“ú,11,Gna. pfe,Gnathochromis pfefferi,7.5,Gna.pfe
27,N_cylindricus,Shrimp_feeder,pink,shrimp–eater,pink,21,4,nomatch,53,Lamprologini,substrate_guarding,8ŒŽ3“ú,8,Neo. cyl,Neolamprologus cylindricus,2.95,Neo.cyl
29,N_furcifer,Shrimp_feeder,pink,shrimp–eater,pink,,6,,54,Cyprichromini,mouth_breeding,,,Neo. fur,Neolamprologus furcifer,1.05,Neo.fur
31,N_obscurus,Shrimp_feeder,pink,shrimp–eater,pink,,7,,55,Lamprologini,,,,Neo. obs,Neolamprologus obscurus,0.525,Neo.obs
32,N_petricola,Ephemeroptera_feeder,steelblue,shrimp–eater,pink,,46,,56,Lamprologini,,,,Neo. pet,Neolamprologus petricola,0.6,Neo.pet
33,N_prochilus,Ephemeroptera_feeder,steelblue,shrimp–eater,pink,,47,,57,Lamprologini,,,,Neo. pro,Neolamprologus prochilus,0.675,Neo.pro
55,X_sima,Diptera_feeder,tan,shrimp–eater,pink,,51,,58,,,,,Xen. sim,Xenotilapia sima,0.3,Xen.sim
18,L_labiatus,Zoobenthos_feeder,skyblue,shrimp–eater,pink,26,52,,59,Ectodini,mouth_breeding,11ŒŽ7“ú,11,Lob. lab,Lobochilotes labiatus,9.95,Lob.lab
30,N_mustax,Zoobenthos_feeder,skyblue,shrimp–eater,pink,,54,,60,Ectodini,mouth_breeding,,,Neo. mus,Neolamprologus mustax,0.4,Neo.mus
36,N_sexfasciatus,Zoobenthos_feeder,skyblue,shrimp–eater,pink,,55,,61,,,,15,Neo. sex,Neolamprologus sexfasciatus,3.825,Neo.sex
