"A_compressiceps","A_dewindti","Cyathopharynx","C_horei","Cyprichromissp","Cunningtonia_longiventralis","E_cyanostictus","G_pfefferi","H_microlepis","I_loocki","J_ornatus","L_attenuatus","L_callipterus","L_cunningtoni","L_dardennii","L_elongatus","L_kendalli","L_labiatus","L_lemairii","L_mimicus","L_profundicola","L_tanganicanus","Lates_M","M_spp","N_busheri","N_caudopunctatus","N_cylindricus","N_fasciatus","N_furcifer","N_mustax","N_obscurus","N_petricola","N_prochilus","N_pulcher","N_savoryi","N_sexfasciatus","N_tetracanthus","O_ventralis","Paracyprichromisspp","P_curvifrons","P_famula","P_fasciolatus","P_microlepis","P_polyodon","P_horii","P_straeleni","P_trewavasae","S_diagramma","Synodontis_multipunctatus","T_moorii","T_temporalis","T_vittatus","Variabilichromis_moorii","X_papilio","X_sima","X_spilopterus","Xenotilapia_flavipinnis","Xenotilapia_boulengeri","Xenotilapia_sp"
1,10,2,0,119,0,43,7,4,0,28,3,5,0,7,9,1,9,7,0,2,31,0,1,0,10,3,57,0,0,0,0,0,33,19,3,0,90,5,0,2,0,14,9,0,1,21,13,1,115,3,156,162,4,2,53,0,0,0
3,0,4,0,206,0,77,7,16,6,42,1,6,0,2,24,0,6,11,0,0,40,0,3,0,32,4,64,0,0,0,0,0,56,18,4,0,73,7,0,1,1,37,11,0,3,27,3,4,112,8,121,159,11,0,35,0,0,0
5,4,1,0,0,0,39,10,17,2,34,3,4,0,8,1,0,13,2,0,0,10,0,5,0,42,2,75,1,0,2,0,2,34,45,5,0,76,1,0,0,109,14,9,0,0,27,53,8,75,2,139,169,7,0,22,0,0,0
3,95,0,1,4,3,45,3,2,11,14,11,21,0,23,10,0,10,4,0,1,98,0,6,0,22,0,62,1,0,0,0,0,26,21,5,1,102,1,0,0,1,19,4,0,6,18,4,4,59,5,182,150,7,0,24,0,0,0
2,78,15,0,4,0,55,4,0,22,26,0,5,0,12,5,0,14,2,0,0,26,0,4,0,22,1,49,2,1,0,0,1,10,13,7,0,52,5,1,0,2,20,6,0,1,21,9,6,53,5,156,136,10,1,7,0,0,0
3,101,2,1,0,1,66,4,3,14,13,0,6,0,8,3,0,8,3,0,0,23,0,7,0,8,3,47,2,1,0,0,1,17,25,3,0,105,20,0,1,0,10,7,0,1,21,26,5,53,1,160,119,1,0,24,0,0,0
3,58,3,1,0,0,55,7,0,17,6,0,4,0,10,14,0,18,2,1,0,14,0,12,0,17,0,53,2,0,0,2,2,30,17,8,0,99,0,2,0,0,20,4,0,2,23,18,4,57,17,153,149,4,0,23,0,0,0
2,12,1,0,1,0,43,5,0,17,18,10,5,0,11,13,0,9,5,0,1,46,0,6,0,15,1,36,1,1,0,1,0,10,17,4,0,50,9,0,0,3,21,7,0,1,23,11,3,36,1,125,58,5,0,58,0,0,0
1,11,0,0,50,0,33,19,0,46,10,3,11,0,22,13,1,12,4,0,2,54,2,7,0,0,2,46,1,0,0,0,3,16,15,3,0,177,63,1,2,3,72,3,0,1,21,15,3,52,1,131,127,1,0,11,0,0,0
3,22,0,1,4,0,27,6,3,26,11,0,9,0,16,6,0,5,3,0,3,18,0,3,0,0,1,67,2,1,0,0,0,11,14,4,0,146,12,0,0,1,65,5,0,1,17,5,1,71,1,142,122,5,0,29,0,0,0
5,0,16,0,69,1,64,7,3,36,31,1,6,0,2,60,1,11,2,0,0,2,0,3,0,12,1,61,2,0,0,0,3,8,12,0,0,55,52,1,1,1,36,6,0,1,29,6,5,96,0,163,107,2,0,6,1,0,0
2,8,0,0,0,0,25,3,0,35,21,0,4,0,10,3,0,10,2,0,1,15,0,4,0,62,3,65,1,0,0,1,0,30,19,2,1,55,60,0,1,2,41,8,0,2,24,18,3,98,3,167,152,4,0,27,0,1,0
4,32,0,0,1,0,15,9,0,50,10,2,6,0,6,8,0,9,0,0,0,28,0,3,0,3,2,79,0,0,1,0,0,22,13,0,0,14,20,0,0,2,37,1,0,0,5,12,2,60,0,110,119,3,0,26,0,0,0
2,60,1,0,0,0,31,13,0,41,12,0,9,0,5,19,0,6,2,0,1,68,0,3,0,0,3,97,0,0,0,0,1,25,17,0,2,51,200,0,0,3,27,5,0,3,17,20,0,67,9,167,139,14,0,23,0,1,0
2,29,2,0,20,0,19,5,0,16,3,0,18,0,6,7,0,4,1,0,2,8,0,5,0,2,2,63,1,0,0,0,0,17,24,0,0,65,132,0,3,1,66,4,0,2,15,12,3,80,4,94,92,5,0,14,0,0,2
