"","x"
"A_compressiceps",3
"J_ornatus",8
"N_fasciatus",8
"O_ventralis",7
"A_dewindti",9
"I_loocki",4
"L_callipterus",9
"L_lemairii",1
"N_sexfasciatus",6
"P_microlepis",8
"P_trewavasae",4
"T_vittatus",6
"G_pfefferi",6
"L_dardennii",4
"L_elongatus",2
"H_microlepis",1
"Paracyprichromisspp",3
"T_moorii",7
"L_attenuatus",4
"L_labiatus",2
"L_tanganicanus",4
"X_papilio",6
"V_moorii",7
"T_temporalis",1
"P_polyodon",2
"S_multipunctatus",3
