"","x"
"A_compressiceps",9
"J_ornatus",13
"N_fasciatus",18
"O_ventralis",18
"A_dewindti",20
"I_loocki",12
"L_callipterus",13
"L_lemairii",2
"N_sexfasciatus",14
"P_microlepis",17
"P_trewavasae",6
"T_vittatus",12
"G_pfefferi",6
"L_dardennii",6
"L_elongatus",6
"H_microlepis",1
"Paracyprichromisspp",5
"T_moorii",20
"L_attenuatus",5
"L_labiatus",3
"L_tanganicanus",7
"X_papilio",12
"V_moorii",11
"T_temporalis",2
"P_polyodon",5
"S_multipunctatus",7
