"","V1"
"A_compressiceps",3
"A_dewindti",9
"G_pfefferi",6
"H_microlepis",1
"I_loocki",4
"J_ornatus",8
"L_attenuatus",4
"L_callipterus",9
"L_dardennii",4
"L_elongatus",2
"L_labiatus",2
"L_lemairii",1
"L_tanganicanus",4
"N_fasciatus",8
"N_sexfasciatus",6
"O_ventralis",7
"P_microlepis",8
"P_polyodon",2
"P_trewavasae",4
"Paracyprichromisspp",3
"S_multipunctatus",3
"T_moorii",7
"T_temporalis",1
"T_vittatus",6
"V_moorii",7
"X_papilio",6
