"","effect","cause","menas"
"96","N_fasciatus","A_dewindti","Max.   :0.384384507354646"
"97","N_fasciatus","I_loocki","Min.   :-0.509446242430507"
"98","N_fasciatus","I_loocki","1st Qu.:-0.0482481825120696"
"99","N_fasciatus","I_loocki","Median :0.149928656610163"
"100","N_fasciatus","I_loocki","Mean   :0.130718077170738"
"101","N_fasciatus","I_loocki","3rd Qu.:0.319004063949682"
"102","N_fasciatus","I_loocki","Max.   :0.57610992211908"
"103","N_fasciatus","J_ornatus","Min.   :-0.85392521021053"
"104","N_fasciatus","J_ornatus","1st Qu.:0.0200174444429039"
"105","N_fasciatus","J_ornatus","Median :0.382505809892693"
"106","N_fasciatus","J_ornatus","Mean   :0.37197007896389"
"107","N_fasciatus","J_ornatus","3rd Qu.:0.697222375185184"
"108","N_fasciatus","J_ornatus","Max.   :1.60784851674701"
"109","N_fasciatus","L_callipterus","Min.   :-1.25498333266097"
"110","N_fasciatus","L_callipterus","1st Qu.:-0.289644337112294"
"111","N_fasciatus","L_callipterus","Median :0.0680729220742135"
"112","N_fasciatus","L_callipterus","Mean   :-0.066601124221864"
"113","N_fasciatus","L_callipterus","3rd Qu.:0.251037782661079"
"114","N_fasciatus","L_callipterus","Max.   :0.709616446235158"
"115","N_fasciatus","O_ventralis","Min.   :-0.72479612898516"
"116","N_fasciatus","O_ventralis","1st Qu.:-0.170765042968721"
"117","N_fasciatus","O_ventralis","Median :0.158267432329275"
"118","N_fasciatus","O_ventralis","Mean   :0.0891613157709359"
"119","N_fasciatus","O_ventralis","3rd Qu.:0.34900216209888"
"120","N_fasciatus","O_ventralis","Max.   :0.80164375198146"
"121","N_fasciatus","Paracyprichromisspp","Min.   :-0.832746419524305"
"122","N_fasciatus","Paracyprichromisspp","1st Qu.:-0.157848354359142"
"123","N_fasciatus","Paracyprichromisspp","Median :0.0113702704271827"
"124","N_fasciatus","Paracyprichromisspp","Mean   :0.0244359920869884"
"125","N_fasciatus","Paracyprichromisspp","3rd Qu.:0.294492841171461"
"126","N_fasciatus","Paracyprichromisspp","Max.   :0.534624675156701"
"127","N_fasciatus","P_microlepis","Min.   :-0.166336406238299"
"128","N_fasciatus","P_microlepis","1st Qu.:0.0912705555399024"
"129","N_fasciatus","P_microlepis","Median :0.238840416947734"
"130","N_fasciatus","P_microlepis","Mean   :0.311909525274544"
"131","N_fasciatus","P_microlepis","3rd Qu.:0.522142832822483"
"132","N_fasciatus","P_microlepis","Max.   :1.30902808712053"
"133","N_fasciatus","S_multipunctatus","Min.   :-1.36573765992055"
"134","N_fasciatus","S_multipunctatus","1st Qu.:-0.746227316596871"
"135","N_fasciatus","S_multipunctatus","Median :-0.646152805334693"
"136","N_fasciatus","S_multipunctatus","Mean   :-0.570070703074708"
"137","N_fasciatus","S_multipunctatus","3rd Qu.:-0.350507723653116"
"138","N_fasciatus","S_multipunctatus","Max.   :0.153036573004902"
"139","N_fasciatus","T_moorii","Min.   :-0.413220032233882"
"140","N_fasciatus","T_moorii","1st Qu.:0.0634057252036132"
"141","N_fasciatus","T_moorii","Median :0.219615875791333"
"142","N_fasciatus","T_moorii","Mean   :0.192844345485546"
"143","N_fasciatus","T_moorii","3rd Qu.:0.370039991714624"
"144","N_fasciatus","T_moorii","Max.   :0.595572847535101"
"145","O_ventralis","O_ventralis","Min.   :-0.172115824104193"
"146","O_ventralis","O_ventralis","1st Qu.:-0.0024160503299052"
"147","O_ventralis","O_ventralis","Median :0.0381537097560104"
"148","O_ventralis","O_ventralis","Mean   :0.0586669212997841"
"149","O_ventralis","O_ventralis","3rd Qu.:0.124527487153813"
"150","O_ventralis","O_ventralis","Max.   :0.305682496453608"
"151","O_ventralis","A_compressiceps","Min.   :-0.466613814590373"
"152","O_ventralis","A_compressiceps","1st Qu.:-0.231048813764289"
"153","O_ventralis","A_compressiceps","Median :-0.111486325091938"
"154","O_ventralis","A_compressiceps","Mean   :-0.0794577941152164"
"155","O_ventralis","A_compressiceps","3rd Qu.:0.0671668999661278"
"156","O_ventralis","A_compressiceps","Max.   :0.338388403957122"
"157","O_ventralis","A_dewindti","Min.   :-0.110985915298169"
"158","O_ventralis","A_dewindti","1st Qu.:0.0984712405921502"
"159","O_ventralis","A_dewindti","Median :0.215016302752813"
"160","O_ventralis","A_dewindti","Mean   :0.188925244326207"
"161","O_ventralis","A_dewindti","3rd Qu.:0.280090552801992"
"162","O_ventralis","A_dewindti","Max.   :0.384871745623967"
"163","O_ventralis","G_pfefferi","Min.   :0.134466411908487"
"164","O_ventralis","G_pfefferi","1st Qu.:0.387083517971255"
"165","O_ventralis","G_pfefferi","Median :0.449814836316876"
"166","O_ventralis","G_pfefferi","Mean   :0.547485625558434"
"167","O_ventralis","G_pfefferi","3rd Qu.:0.735715788132806"
"168","O_ventralis","G_pfefferi","Max.   :1.00362874992348"
"169","O_ventralis","I_loocki","Min.   :-0.808591612419095"
"170","O_ventralis","I_loocki","1st Qu.:-0.519308329402565"
"171","O_ventralis","I_loocki","Median :-0.370685605396738"
"172","O_ventralis","I_loocki","Mean   :-0.3675052680556"
"173","O_ventralis","I_loocki","3rd Qu.:-0.242291166846387"
