"","Var1","Freq"
"1","A_compressiceps",1
"2","A_dewindti",4
"3","G_pfefferi",1
"4","H_microlepis",1
"5","I_loocki",2
"6","J_ornatus",1
"7","L_callipterus",5
"8","L_dardennii",2
"9","L_elongatus",2
"10","L_labiatus",2
"11","L_lemairii",1
"12","L_tanganicanus",1
"13","N_fasciatus",5
"14","N_sexfasciatus",3
"15","O_ventralis",3
"16","P_microlepis",5
"17","P_polyodon",1
"18","S_multipunctatus",2
"19","T_moorii",4
"20","T_vittatus",4
"21","V_moorii",5
"22","X_papilio",3
