"","Var1","Freq"
"1","A_compressiceps",2
"2","A_dewindti",5
"3","G_pfefferi",5
"4","I_loocki",2
"5","J_ornatus",7
"6","L_attenuatus",4
"7","L_callipterus",4
"8","L_dardennii",2
"9","L_tanganicanus",3
"10","N_fasciatus",3
"11","N_sexfasciatus",3
"12","O_ventralis",4
"13","P_microlepis",3
"14","P_polyodon",1
"15","P_trewavasae",4
"16","Paracyprichromisspp",3
"17","S_multipunctatus",1
"18","T_moorii",3
"19","T_temporalis",1
"20","T_vittatus",2
"21","V_moorii",2
"22","X_papilio",3
