"","xvalue","counts"
"1",1,1
"2",2,2
"3",3,1
"4",5,3
"5",6,4
"6",7,2
"7",9,1
"8",11,1
"9",12,3
"10",13,2
"11",14,1
"12",17,1
"13",18,2
"14",20,2
