"","x"
"A_compressiceps",6
"J_ornatus",5
"N_fasciatus",10
"O_ventralis",11
"A_dewindti",11
"I_loocki",8
"L_callipterus",4
"L_lemairii",1
"N_sexfasciatus",8
"P_microlepis",9
"P_trewavasae",2
"T_vittatus",6
"G_pfefferi",0
"L_dardennii",2
"L_elongatus",4
"H_microlepis",0
"Paracyprichromisspp",2
"T_moorii",13
"L_attenuatus",1
"L_labiatus",1
"L_tanganicanus",3
"X_papilio",6
"V_moorii",4
"T_temporalis",1
"P_polyodon",3
"S_multipunctatus",4
